pdb_id,resolution,year,pKd,binding_raw
4n70,2.1,2013,12.0,Ki=1pM
1lf9,2.2,2003,12.0,Ki=1pM
6e9a,1.22,2018,11.920818753952375,Ki=0.0012nM
1sl3,1.81,2004,11.853871964321762,Ki=1.4pM
4f3c,1.93,2013,11.823908740944319,Ki=1.5pM
3o9i,1.45,2011,11.823908740944319,Ki=1.5pM
5bry,1.34,2015,11.823908740944319,Ki=0.0015nM
1duv,1.7,2000,11.795880017344075,Kd=1.6pM
4dfg,1.23,2012,11.744727494896694,Ki=1.8pM
2i4x,1.55,2007,11.721246399047171,Ki=1.9pM
4q1w,1.85,2015,11.698970004336019,Ki=2pM
6cdj,1.13,2018,11.698970004336019,Ki=0.002nM
1y6q,2.2,2005,11.698970004336019,Ki=2pM
5mw4,2.19,2017,11.698970004336019,Ki=0.002nM
4wr7,1.5,2015,11.698970004336019,Kd=0.002nM
2i4d,1.5,2007,11.67778070526608,Ki=2.1pM
6u7p,1.13,2019,11.67778070526608,Ki=2.1pM
4jn2,1.71,2013,11.67778070526608,Kd=2.1pM
2i4w,1.55,2007,11.585026652029182,Ki=2.6pM
2i4u,1.5,2007,11.568636235841012,Ki=2.7pM
4wkb,1.37,2015,11.568636235841012,Ki=2.7pM
4ll3,1.95,2014,11.568636235841012,Kd=2.7pM
3qaa,1.4,2011,11.537602002101044,Ki=2.9pM
4k1b,2.08,2013,11.522878745280337,Ki=0.003nM
4djo,1.78,2012,11.522878745280337,Ki=3pM
4djr,1.55,2012,11.522878745280337,Ki=0.003nM
5qil,1.98,2018,11.522878745280337,IC50=0.003nM
5izj,1.85,2016,11.522878745280337,Kd=0.003nM
5drr,1.59,2016,11.455931955649724,Ki=3.5pM
3wv1,1.98,2015,11.4089353929735,IC50=0.0039nM
2i0a,1.8,2006,11.397940008672037,Ki=4pM
2hb3,1.35,2006,11.346787486224656,Ki=4.5pM
5dgu,1.22,2015,11.346787486224656,Ki=0.0045nM
2j62,2.26,2007,11.337242168318426,Ki=4.6pM
2x00,2.4,2010,11.327902142064282,Kd=4.7pM
4gbd,1.98,2013,11.318758762624412,Ki=0.0048nM
2q5k,1.95,2007,11.301029995663981,Ki=5pM
3o9e,1.5,2011,11.301029995663981,Ki=5pM
2xpk,2.4,2011,11.301029995663981,Ki=0.005nM
1mau,2.15,2003,11.301029995663981,Kd=5pM
3st5,1.45,2011,11.301029995663981,Ki=5pM
4f2w,2.0,2013,11.301029995663981,Ki=5.0pM
6oxq,1.89,2019,11.301029995663981,Ki=0.005nM
6mqe,2.46,2019,11.292429823902063,Kd=0.0051nM
3k8q,2.5,2010,11.2839966563652,Kd=5.2pM
4ryd,2.15,2015,11.259637310505756,Ki=5.5pM
4u8w,1.3,2014,11.236572006437063,Ki=5.8pM
3ok9,1.27,2010,11.229147988357855,Ki=5.9pM
3gi6,1.84,2010,11.221848749616356,Ki=6pM
5dwr,2.0,2015,11.221848749616356,Ki=6pM
